step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,dew_d1,dew_d2,dew_d4,dew_d8,dew_d16,dew_d32,dew_d64,dew_d128
10,2,1.0000001e-5,5.287751,197.8979,907.00,0.6275,0.155420,0.176620,27.540791,0.123606,0.106516,0.114177,0.120419,0.131880,0.147752,0.176775,0.249403
20,5,2.5000001e-5,5.297036,199.7439,854.30,0.5706,0.156396,0.180028,27.157421,0.092968,0.122612,0.125740,0.126018,0.127583,0.140644,0.171550,0.281745
30,7,3.5e-5,5.260645,192.6057,947.13,0.5268,0.159107,0.184223,27.613138,0.121771,0.124459,0.118868,0.125090,0.138037,0.148788,0.170757,0.241973
40,10,5.0000002e-5,5.240369,188.7397,884.55,0.5655,0.158723,0.184338,26.625645,0.131768,0.114603,0.118122,0.130268,0.134541,0.146143,0.186129,0.258677
50,12,6.0000002e-5,5.233870,187.5171,805.33,0.5544,0.154295,0.174149,27.220697,0.123022,0.102830,0.106468,0.118797,0.124204,0.137568,0.171457,0.255386
60,15,7.5e-5,5.216944,184.3698,948.52,0.5622,0.155405,0.177983,26.873678,0.128021,0.114220,0.114567,0.116206,0.128042,0.146712,0.178097,0.257851
70,17,8.500001e-5,5.135216,169.9010,718.25,0.5340,0.157056,0.174051,27.440250,0.102287,0.106720,0.116756,0.113197,0.124835,0.140515,0.179543,0.294140
80,20,1.00000005e-4,5.081943,161.0867,853.26,0.5848,0.156719,0.178355,25.743612,0.109780,0.110961,0.119099,0.123153,0.132115,0.141909,0.178776,0.294410
90,22,1.1000001e-4,5.042936,154.9242,859.84,0.5171,0.157713,0.175665,26.908056,0.113126,0.118216,0.110184,0.128216,0.132606,0.139515,0.164129,0.256756
100,25,1.25e-4,4.962369,142.9321,860.12,0.5681,0.158520,0.177439,25.802204,0.131393,0.115156,0.125627,0.117340,0.130356,0.141313,0.164309,0.264026
110,27,1.3500001e-4,4.886165,132.4446,809.15,0.5317,0.155351,0.168729,25.217800,0.114720,0.122435,0.118208,0.111990,0.121063,0.133825,0.171899,0.292777
120,30,1.5e-4,4.788160,120.0802,799.07,0.5795,0.155346,0.166560,24.644291,0.124224,0.123187,0.108822,0.115576,0.129773,0.139498,0.175297,0.241551
130,32,1.6000001e-4,4.742247,114.6916,904.97,0.5264,0.152541,0.159169,24.377949,0.136161,0.105431,0.107517,0.113447,0.121452,0.130136,0.158741,0.225843
140,35,1.7500001e-4,4.647415,104.3150,1072.98,0.5392,0.153286,0.156461,24.099522,0.107583,0.101235,0.112180,0.113908,0.122841,0.133412,0.147439,0.190662
150,37,1.8500001e-4,4.544037,94.0698,770.65,0.5439,0.151220,0.149818,23.324356,0.118534,0.103700,0.099775,0.112492,0.111495,0.120283,0.142171,0.226078
160,40,2.0000001e-4,4.467587,87.1461,819.90,0.5737,0.147297,0.145544,23.045828,0.112842,0.113916,0.104927,0.104279,0.112570,0.124249,0.143134,0.202293
170,42,2.1e-4,4.367286,78.8294,1028.38,0.5174,0.142590,0.129679,22.362305,0.101949,0.111903,0.103187,0.101940,0.104349,0.112375,0.123895,0.169376
180,45,2.2500001e-4,4.258147,70.6789,819.68,0.5590,0.140833,0.127641,21.915499,0.092573,0.090125,0.097170,0.095874,0.106880,0.107261,0.126506,0.188934
190,47,2.3500001e-4,4.184649,65.6705,887.71,0.5253,0.139334,0.125244,21.878490,0.095394,0.109448,0.098807,0.095408,0.104086,0.111146,0.113996,0.155705
200,50,2.5e-4,4.094945,60.0360,943.06,0.5449,0.134471,0.115948,20.826672,0.105943,0.089170,0.101307,0.092611,0.097309,0.099507,0.108194,0.143143
210,52,2.6e-4,3.972179,53.1001,857.78,0.5243,0.132628,0.110163,20.264805,0.091921,0.090133,0.089791,0.084903,0.091306,0.096530,0.105142,0.157285
220,55,2.7500003e-4,3.872595,48.0670,967.21,0.5608,0.128209,0.105877,19.592960,0.085342,0.081776,0.081042,0.078761,0.090558,0.091134,0.100888,0.137616
230,57,2.8500002e-4,3.780112,43.8209,851.30,0.5261,0.127458,0.098053,19.807476,0.067752,0.077983,0.077142,0.075904,0.079371,0.086914,0.095751,0.130077
240,60,3e-4,3.651103,38.5171,760.54,0.5445,0.124551,0.097580,19.012852,0.088155,0.076464,0.080774,0.082885,0.080373,0.086545,0.093989,0.145898
250,62,3.1e-4,3.566057,35.3768,938.73,0.5347,0.121972,0.092881,18.241526,0.079087,0.071713,0.074362,0.074956,0.074694,0.079342,0.093364,0.123227
260,65,3.25e-4,3.503370,33.2272,888.88,0.5401,0.119293,0.089172,18.377808,0.076423,0.074587,0.076498,0.077443,0.077349,0.080188,0.084120,0.114734
270,67,3.3500002e-4,3.362426,28.8591,794.38,0.5463,0.114860,0.081886,16.979622,0.056042,0.070606,0.072714,0.073375,0.072125,0.073867,0.078100,0.101084
280,70,3.5000002e-4,3.300952,27.1385,748.01,0.5600,0.115585,0.084169,17.448599,0.068820,0.078110,0.066250,0.068399,0.069523,0.075119,0.084183,0.117592
290,72,3.6000003e-4,3.203679,24.6229,783.73,0.5527,0.112315,0.078440,16.159739,0.062294,0.058354,0.059562,0.066459,0.068472,0.070827,0.075758,0.128033
300,75,3.75e-4,3.137651,23.0497,829.35,0.5564,0.109473,0.075917,16.396986,0.068948,0.058104,0.067959,0.064421,0.069536,0.067554,0.072553,0.093755
310,77,3.8500002e-4,3.044162,20.9924,701.60,0.5473,0.109121,0.073885,16.081066,0.065201,0.062505,0.059599,0.064554,0.063048,0.067313,0.076839,0.122752
320,80,4.0000002e-4,2.974477,19.5794,754.68,0.5692,0.105900,0.071043,15.753566,0.061226,0.061081,0.056584,0.060262,0.059295,0.064431,0.069537,0.102947
330,82,4.1e-4,2.860790,17.4753,755.97,0.5487,0.103298,0.064025,14.607168,0.055889,0.055655,0.056460,0.053550,0.061479,0.060352,0.061324,0.076474
340,85,4.2500003e-4,2.845744,17.2144,956.28,0.5215,0.103859,0.065625,14.950720,0.055226,0.061366,0.053471,0.057593,0.058353,0.059941,0.062335,0.077389
350,87,4.3500002e-4,2.743048,15.5343,879.56,0.5284,0.100663,0.061977,14.024254,0.065868,0.053286,0.049916,0.056525,0.055344,0.057593,0.058406,0.078668
360,90,4.5000002e-4,2.687001,14.6876,885.84,0.5449,0.099721,0.060548,13.750587,0.045518,0.052428,0.054312,0.055537,0.055651,0.055454,0.058177,0.075068
370,92,4.6000004e-4,2.596168,13.4122,997.58,0.5223,0.098490,0.057188,13.326117,0.044962,0.059984,0.052490,0.050872,0.053889,0.052112,0.055679,0.072581
380,95,4.75e-4,2.605378,13.5363,944.67,0.5289,0.099536,0.058271,13.683513,0.051315,0.050277,0.047685,0.051211,0.051454,0.053000,0.057274,0.079950
390,97,4.8500003e-4,2.541473,12.6984,856.52,0.5271,0.097859,0.054607,13.157669,0.059735,0.048421,0.044919,0.047766,0.049631,0.052295,0.051852,0.072930
400,100,5e-4,2.444934,11.5298,895.59,0.5443,0.096358,0.054014,12.730062,0.050186,0.048769,0.048497,0.051212,0.049591,0.050435,0.052716,0.065867
410,102,5e-4,2.473678,11.8660,744.88,0.5225,0.096548,0.053203,13.013089,0.050206,0.049269,0.047200,0.049720,0.049541,0.050548,0.051110,0.063552
420,105,5e-4,2.431074,11.3711,888.32,0.5485,0.095248,0.052802,12.509704,0.046591,0.045193,0.051823,0.046521,0.047523,0.048706,0.054115,0.061120
430,107,5e-4,2.304005,10.0142,756.53,0.5526,0.095220,0.050431,11.700573,0.047210,0.043027,0.044054,0.046256,0.046142,0.046630,0.051290,0.065805
440,110,5e-4,2.294601,9.9205,735.89,0.5805,0.094610,0.050898,11.697882,0.044228,0.045713,0.044831,0.048383,0.046547,0.047512,0.049548,0.067592
450,112,5e-4,2.324959,10.2263,965.31,0.5234,0.095580,0.052153,12.220783,0.052225,0.048931,0.046876,0.052289,0.050450,0.049307,0.049297,0.058795
460,115,5e-4,2.236476,9.3603,868.96,0.5410,0.095196,0.051407,11.890423,0.047315,0.046646,0.045363,0.048246,0.048338,0.048157,0.049750,0.061842
470,117,5e-4,2.222007,9.2258,971.29,0.5044,0.094137,0.049646,11.523993,0.042510,0.053647,0.042457,0.048915,0.047936,0.047427,0.047468,0.055964
480,120,5e-4,2.185103,8.8916,731.14,0.5662,0.094178,0.048831,11.249995,0.044343,0.044779,0.044596,0.046288,0.046546,0.045792,0.048257,0.066438
490,122,5e-4,2.131805,8.4301,737.58,0.5437,0.095163,0.048715,10.993094,0.046514,0.043687,0.046981,0.044463,0.044959,0.045093,0.047534,0.070888
500,125,5e-4,2.162978,8.6970,900.24,0.5285,0.096092,0.049196,11.477969,0.038973,0.043715,0.046387,0.046511,0.044979,0.046016,0.047312,0.054742
510,127,5e-4,2.125018,8.3730,779.18,0.5253,0.095389,0.049149,11.001223,0.040333,0.045787,0.042688,0.045799,0.045621,0.045543,0.048658,0.055041
520,130,5e-4,2.046796,7.7431,1036.61,0.5404,0.093716,0.047426,10.374789,0.041574,0.038625,0.040719,0.041092,0.044458,0.045797,0.045328,0.058796
530,132,5e-4,1.992178,7.3315,890.80,0.5253,0.093493,0.046998,10.131781,0.046522,0.042395,0.043169,0.041911,0.042814,0.045206,0.045658,0.059664
540,135,5e-4,2.037339,7.6702,778.40,0.5462,0.095235,0.049885,10.781819,0.051765,0.051139,0.046004,0.046624,0.046416,0.047912,0.048758,0.059338
550,137,5e-4,1.967074,7.1497,804.98,0.5213,0.096223,0.048328,10.290911,0.053567,0.043213,0.042489,0.048105,0.048193,0.047821,0.045936,0.053217
560,140,5e-4,1.978225,7.2299,814.98,0.5637,0.096326,0.048229,10.264574,0.045344,0.043531,0.045721,0.043411,0.043881,0.046586,0.047138,0.058509
570,142,5e-4,1.931322,6.8986,1030.06,0.4947,0.096907,0.048319,10.216020,0.044190,0.044413,0.044513,0.048912,0.046237,0.046350,0.047300,0.054105
580,145,5e-4,1.856247,6.3997,848.91,0.5639,0.094932,0.047150,9.601843,0.046091,0.047115,0.042434,0.043228,0.047406,0.044416,0.045075,0.056428
590,147,5e-4,1.886034,6.5932,720.35,0.5251,0.098165,0.049818,10.047397,0.047395,0.048646,0.049199,0.047098,0.047893,0.048051,0.047896,0.058864
600,150,5e-4,1.838927,6.2898,816.35,0.5715,0.095909,0.048170,9.598343,0.046193,0.041196,0.044462,0.047596,0.045467,0.046644,0.045259,0.058430
610,152,5e-4,1.885201,6.5877,750.37,0.5382,0.098286,0.048810,9.783724,0.047540,0.041787,0.043316,0.045634,0.049122,0.046632,0.046948,0.057580
620,155,5e-4,1.827013,6.2153,833.51,0.5608,0.099317,0.049632,9.525143,0.049144,0.051474,0.047703,0.046015,0.048150,0.044681,0.049129,0.056700
630,157,5e-4,1.814294,6.1367,890.16,0.5228,0.098331,0.048847,9.304340,0.044870,0.043336,0.045303,0.047269,0.045081,0.045659,0.047820,0.055165
640,160,5e-4,1.795148,6.0204,978.22,0.5321,0.099161,0.049444,9.193496,0.048955,0.047235,0.044150,0.045297,0.044578,0.046489,0.049152,0.066803
650,162,5e-4,1.789306,5.9853,699.57,0.5171,0.099687,0.050893,9.366606,0.052208,0.047838,0.047816,0.045275,0.044359,0.050078,0.050496,0.060713
660,165,5e-4,1.780582,5.9333,992.02,0.5230,0.101374,0.051193,9.410944,0.051381,0.049701,0.048611,0.046836,0.048100,0.048549,0.049778,0.055688
670,167,5e-4,1.746134,5.7324,961.71,0.5286,0.099781,0.050048,9.011825,0.059743,0.053178,0.043444,0.047837,0.045003,0.047721,0.048574,0.056788
680,170,5e-4,1.798042,6.0378,954.88,0.5432,0.103099,0.053267,9.165590,0.050504,0.048865,0.051095,0.051039,0.049822,0.049562,0.052820,0.059832
690,172,5e-4,1.720686,5.5884,746.38,0.5404,0.101481,0.052102,8.868341,0.054088,0.058243,0.042404,0.047563,0.048354,0.048499,0.052063,0.059115
700,175,5e-4,1.694150,5.4420,931.63,0.5401,0.099992,0.050219,8.752200,0.047862,0.056629,0.045859,0.045453,0.046198,0.047294,0.050503,0.059147
710,177,5e-4,1.737453,5.6828,931.55,0.4992,0.104428,0.053959,9.192318,0.055386,0.056520,0.051910,0.046024,0.047727,0.051379,0.052687,0.061170
720,180,5e-4,1.651782,5.2163,797.44,0.5859,0.101417,0.052066,8.394533,0.051448,0.047571,0.047333,0.046662,0.050513,0.052575,0.050830,0.060100
730,182,5e-4,1.675799,5.3431,798.64,0.5138,0.102637,0.050862,8.856346,0.048526,0.043951,0.057168,0.045532,0.048682,0.049187,0.049556,0.056466
740,185,5e-4,1.615754,5.0317,984.26,0.5415,0.102838,0.052303,8.333165,0.055420,0.052191,0.043773,0.050552,0.048865,0.048844,0.051285,0.061005
750,187,5e-4,1.660756,5.2633,966.36,0.5262,0.105338,0.053488,8.544457,0.057388,0.048327,0.048751,0.051247,0.050406,0.049614,0.051860,0.061888
760,190,5e-4,1.657529,5.2463,852.54,0.5466,0.106397,0.054559,8.675950,0.052466,0.051697,0.055899,0.050659,0.049250,0.053596,0.053726,0.059539
770,192,5e-4,1.711016,5.5346,744.87,0.5368,0.109986,0.058015,9.148466,0.061532,0.064447,0.054023,0.052983,0.050564,0.056185,0.057668,0.065114
780,195,5e-4,1.595734,4.9319,930.95,0.5330,0.109157,0.056757,8.439455,0.057130,0.056530,0.053752,0.052342,0.053888,0.053267,0.055354,0.068105
790,197,5e-4,1.555704,4.7384,758.72,0.5502,0.106589,0.055252,8.077159,0.053421,0.050906,0.053936,0.049590,0.050282,0.053061,0.055288,0.071294
800,200,5e-4,1.669770,5.3109,817.67,0.5474,0.109262,0.056403,8.851208,0.052515,0.049884,0.050177,0.050966,0.052023,0.051895,0.055457,0.071866
810,202,5e-4,1.593807,4.9225,924.83,0.5176,0.109230,0.056909,8.292369,0.061394,0.055642,0.057260,0.050252,0.051195,0.052581,0.056201,0.064079
820,205,5e-4,1.517109,4.5590,897.36,0.5652,0.106556,0.054737,7.689867,0.058632,0.054074,0.050799,0.050642,0.049490,0.051406,0.054060,0.061619
830,207,5e-4,1.535803,4.6451,782.51,0.5345,0.109704,0.057372,7.955198,0.066973,0.055668,0.055389,0.055486,0.052647,0.052841,0.056642,0.064559
840,210,5e-4,1.533244,4.6332,700.21,0.6086,0.108730,0.057156,7.794044,0.055731,0.057755,0.054561,0.049735,0.051392,0.053809,0.058422,0.075007
850,212,5e-4,1.507810,4.5168,980.08,0.5142,0.110568,0.057581,7.680553,0.058347,0.055692,0.054271,0.052624,0.052158,0.054014,0.057026,0.064604
860,215,5e-4,1.549460,4.7089,876.13,0.5467,0.113068,0.059881,8.000433,0.062938,0.060897,0.053731,0.053962,0.058721,0.056168,0.056940,0.066717
870,217,5e-4,1.509129,4.5228,947.55,0.5179,0.111382,0.059200,7.738138,0.055518,0.074927,0.051299,0.056598,0.055650,0.055945,0.058970,0.064885
880,220,5e-4,1.587894,4.8934,808.71,0.5642,0.115137,0.061350,8.255955,0.058435,0.067502,0.054215,0.057068,0.057972,0.061062,0.059884,0.072495
890,222,5e-4,1.504896,4.5037,928.99,0.5319,0.114666,0.059715,7.757964,0.058840,0.063279,0.059096,0.059741,0.057994,0.055580,0.056797,0.066299
900,225,5e-4,1.526138,4.6004,879.20,0.5428,0.117480,0.061646,8.023451,0.085386,0.057549,0.066651,0.059138,0.057593,0.057459,0.059933,0.070095
910,227,5e-4,1.490562,4.4396,758.57,0.5446,0.115923,0.060634,7.719445,0.063245,0.062131,0.053624,0.055859,0.055189,0.056737,0.060023,0.078759
920,230,5e-4,1.526843,4.6036,968.92,0.5470,0.113233,0.058903,7.847319,0.054454,0.055102,0.058489,0.051900,0.055270,0.055515,0.056869,0.067721
930,232,5e-4,1.507532,4.5156,818.77,0.5368,0.114776,0.059919,7.768202,0.066064,0.057282,0.061364,0.058884,0.054987,0.057371,0.057042,0.067350
940,235,5e-4,1.494496,4.4571,801.89,0.5622,0.114903,0.060243,7.852944,0.064756,0.061062,0.058059,0.056173,0.055805,0.056143,0.059516,0.072939
950,237,5e-4,1.412928,4.1080,759.93,0.5457,0.113876,0.061195,7.288346,0.063280,0.064056,0.057901,0.053679,0.055398,0.060850,0.060184,0.072613
960,240,5e-4,1.415400,4.1181,781.57,0.5627,0.114263,0.061398,7.255992,0.060510,0.058790,0.058937,0.055708,0.060491,0.057578,0.060275,0.072589
970,242,5e-4,1.496007,4.4638,765.82,0.5330,0.117698,0.063539,7.820014,0.056848,0.061519,0.057380,0.058076,0.060282,0.058795,0.062180,0.077197
980,245,5e-4,1.497808,4.4719,814.54,0.5435,0.118918,0.063565,7.934432,0.073502,0.062488,0.057594,0.059297,0.058015,0.061498,0.062708,0.068761
990,247,5e-4,1.435198,4.2005,749.65,0.5290,0.115700,0.062478,7.476236,0.064597,0.058438,0.055931,0.060406,0.059654,0.058358,0.059957,0.071187
1000,250,5e-4,1.594911,4.9279,810.11,0.5291,0.125055,0.067915,8.719175,0.083699,0.083204,0.061958,0.058634,0.063749,0.064231,0.064976,0.081678
1010,252,5e-4,1.435152,4.2003,809.61,0.5319,0.118039,0.063109,7.429709,0.053774,0.057505,0.059445,0.054142,0.059357,0.060929,0.063607,0.068948
1020,255,5e-4,1.458350,4.2989,903.58,0.5388,0.120860,0.064024,7.487091,0.070178,0.066826,0.063573,0.057236,0.062286,0.059295,0.061947,0.072974
1030,257,5e-4,1.389628,4.0134,1081.11,0.5201,0.119815,0.063043,7.153468,0.064526,0.061969,0.069427,0.057946,0.061153,0.062581,0.060062,0.067202
1040,260,5e-4,1.361944,3.9038,889.95,0.5383,0.119847,0.064174,7.082081,0.069721,0.063061,0.063079,0.061481,0.060592,0.060208,0.064529,0.068494
1050,262,5e-4,1.376266,3.9601,911.97,0.5184,0.120894,0.063951,7.052450,0.056309,0.061154,0.064051,0.061202,0.058055,0.061423,0.062254,0.074468
1060,265,5e-4,1.497556,4.4707,981.24,0.5414,0.125242,0.066151,7.746894,0.062016,0.061916,0.064694,0.063821,0.059933,0.062166,0.064776,0.074094
1070,267,5e-4,1.431445,4.1847,835.87,0.5097,0.124604,0.067387,7.562449,0.068159,0.060161,0.059950,0.064687,0.061427,0.064322,0.065497,0.074762
1080,270,5e-4,1.385195,3.9956,803.38,0.5651,0.122359,0.066544,7.204629,0.063802,0.063275,0.061033,0.068172,0.061612,0.061484,0.066726,0.076635
1090,272,5e-4,1.434813,4.1989,946.45,0.5243,0.123960,0.067205,7.457171,0.057912,0.066408,0.058446,0.062718,0.062349,0.063783,0.063820,0.076807
1100,275,5e-4,1.440975,4.2248,896.39,0.5465,0.125661,0.068244,7.514470,0.069465,0.073578,0.064236,0.061669,0.062295,0.064466,0.067893,0.073009
1110,277,5e-4,1.330804,3.7841,787.38,0.5410,0.121029,0.064607,6.769749,0.065756,0.057401,0.062864,0.060144,0.059787,0.061492,0.063543,0.077649
1120,280,5e-4,1.367246,3.9245,1031.99,0.5461,0.121123,0.063666,6.871393,0.068275,0.055013,0.058276,0.060661,0.057787,0.063304,0.065058,0.064139
1130,282,5e-4,1.359375,3.8938,781.74,0.5434,0.124046,0.066815,7.019402,0.065078,0.072263,0.066676,0.063378,0.064042,0.064103,0.064118,0.073602
1140,285,5e-4,1.392310,4.0241,825.92,0.5457,0.123730,0.066751,7.196434,0.065940,0.068503,0.064414,0.064537,0.065646,0.063971,0.063740,0.072635
1150,287,5e-4,1.291525,3.6383,699.56,0.5695,0.122419,0.066771,6.588828,0.059841,0.074015,0.063436,0.063735,0.061801,0.064304,0.066744,0.076828
1160,290,5e-4,1.277111,3.5863,833.57,0.5815,0.120890,0.065394,6.402595,0.066430,0.069654,0.054408,0.063176,0.060048,0.065578,0.064905,0.071978
1170,292,5e-4,1.369375,3.9329,907.67,0.5093,0.128507,0.067961,7.136813,0.063308,0.070471,0.069538,0.068178,0.062109,0.067351,0.066293,0.071858
1180,295,5e-4,1.329036,3.7774,872.57,0.5397,0.126694,0.068147,6.986163,0.074724,0.069747,0.068055,0.072097,0.064216,0.067153,0.066185,0.071810
1190,297,5e-4,1.330539,3.7831,963.83,0.5290,0.127199,0.069098,6.849194,0.072680,0.063845,0.068847,0.062026,0.064417,0.066402,0.067936,0.079383
1200,300,5e-4,1.337553,3.8097,795.42,0.5787,0.128589,0.069938,6.894389,0.075705,0.071420,0.069921,0.062697,0.065941,0.064187,0.068466,0.083557
1210,302,5e-4,1.314513,3.7229,882.69,0.5313,0.129235,0.071188,6.828086,0.077486,0.065291,0.063404,0.071315,0.066891,0.068110,0.070113,0.076898
1220,305,5e-4,1.260584,3.5275,739.64,0.5719,0.128116,0.070087,6.455733,0.059293,0.070922,0.069360,0.063812,0.066962,0.067577,0.070986,0.072558
1230,307,5e-4,1.323623,3.7570,909.33,0.5140,0.130536,0.071728,6.913800,0.079883,0.071687,0.069287,0.069320,0.066431,0.067389,0.072479,0.079885
1240,310,5e-4,1.376884,3.9625,850.02,0.5577,0.130277,0.071298,7.070534,0.077807,0.069591,0.072516,0.069146,0.068140,0.065710,0.069894,0.077056
1250,312,5e-4,1.297647,3.6607,766.90,0.5561,0.130511,0.072073,6.771014,0.082984,0.084198,0.077757,0.066896,0.070365,0.070304,0.070495,0.078166
1260,315,5e-4,1.289727,3.6318,824.68,0.5931,0.129729,0.071871,6.660112,0.081732,0.078186,0.074982,0.069035,0.067081,0.069112,0.069522,0.082560
1270,317,5e-4,1.262368,3.5338,719.94,0.5497,0.128806,0.071255,6.517193,0.076498,0.079292,0.069596,0.068023,0.065334,0.067656,0.070520,0.077317
1280,320,5e-4,1.238552,3.4506,787.74,0.5473,0.126898,0.070517,6.410161,0.066453,0.065547,0.073936,0.067828,0.064770,0.068597,0.068705,0.081594
1290,322,5e-4,1.256096,3.5117,768.74,0.5224,0.130411,0.070943,6.615977,0.073240,0.075466,0.074968,0.067319,0.064430,0.068473,0.071059,0.078227
1300,325,5e-4,1.264869,3.5426,1068.87,0.5155,0.132212,0.070622,6.612264,0.082843,0.081064,0.077558,0.064130,0.067351,0.066572,0.070111,0.074445
1310,327,5e-4,1.249918,3.4901,1123.31,0.5056,0.132369,0.071144,6.421449,0.067048,0.074551,0.065007,0.068830,0.065799,0.068917,0.069863,0.077832
1320,330,5e-4,1.207813,3.3462,746.93,0.5756,0.131298,0.071249,6.327442,0.081997,0.070130,0.063057,0.063811,0.070136,0.069120,0.071586,0.079567
1330,332,5e-4,1.233899,3.4346,879.81,0.5262,0.128287,0.069188,6.191104,0.064676,0.061349,0.065799,0.064917,0.066481,0.066478,0.069520,0.072331
1340,335,5e-4,1.270278,3.5618,779.62,0.5720,0.132764,0.073448,6.627355,0.088707,0.076321,0.069508,0.071764,0.071042,0.071654,0.072643,0.078103
1350,337,5e-4,1.229351,3.4190,855.73,0.5272,0.132199,0.073325,6.416470,0.078627,0.065723,0.071115,0.067526,0.072416,0.068642,0.071650,0.079408
1360,340,5e-4,1.356080,3.8810,824.93,0.5636,0.137383,0.077215,7.043452,0.071346,0.080488,0.074800,0.075657,0.071672,0.071384,0.075425,0.093055
1370,342,5e-4,1.267916,3.5534,893.31,0.5205,0.134709,0.075232,6.567882,0.072142,0.071000,0.071763,0.070319,0.070578,0.071618,0.074746,0.084547
1380,345,5e-4,1.221121,3.3910,747.31,0.5591,0.134392,0.075531,6.388958,0.077790,0.077187,0.073922,0.069918,0.073196,0.069762,0.073090,0.089487
1390,347,5e-4,1.200467,3.3217,712.32,0.5599,0.134474,0.074809,6.073569,0.078652,0.086232,0.068917,0.066399,0.074165,0.072490,0.075861,0.094336
1400,350,5e-4,1.253660,3.5031,863.51,0.5555,0.138761,0.077433,6.478723,0.083950,0.078914,0.079583,0.070467,0.074403,0.078446,0.074950,0.080503
1410,352,5e-4,1.269993,3.5608,900.65,0.5239,0.140499,0.077558,6.532352,0.071916,0.083401,0.077878,0.069532,0.076816,0.077430,0.074698,0.082690
1420,355,5e-4,1.218426,3.3819,886.85,0.5483,0.137423,0.075554,6.286714,0.081275,0.078638,0.073423,0.068961,0.073446,0.073329,0.073684,0.084501
1430,357,5e-4,1.224242,3.4016,823.37,0.5260,0.138936,0.076110,6.405751,0.067862,0.083584,0.072934,0.072196,0.074713,0.074595,0.075518,0.079921
1440,360,5e-4,1.172266,3.2293,838.45,0.5512,0.136210,0.074741,6.055900,0.082945,0.077053,0.072626,0.071859,0.075053,0.073574,0.072034,0.077604
1450,362,5e-4,1.176228,3.2421,697.92,0.5413,0.134972,0.074650,6.266467,0.070387,0.069785,0.069732,0.072539,0.073759,0.072884,0.073861,0.080432
1460,365,5e-4,1.313491,3.7191,706.39,0.5485,0.142437,0.079708,7.059241,0.077754,0.070936,0.070469,0.078472,0.073638,0.077681,0.081302,0.086744
1470,367,5e-4,1.150505,3.1598,832.74,0.5513,0.135152,0.074536,5.849597,0.067815,0.076497,0.079318,0.071530,0.069406,0.070910,0.073651,0.081878
1480,370,5e-4,1.196254,3.3077,849.97,0.5526,0.139587,0.076241,6.165411,0.068824,0.074803,0.065323,0.071513,0.074141,0.074147,0.075470,0.082063
1490,372,5e-4,1.201692,3.3257,946.99,0.5121,0.139982,0.077994,6.170313,0.092534,0.080985,0.078319,0.074792,0.070880,0.072770,0.076352,0.088666
1500,375,5e-4,1.164057,3.2029,729.29,0.5620,0.139850,0.077041,6.132020,0.072983,0.079162,0.074381,0.077516,0.072525,0.073773,0.076620,0.084282
1510,377,5e-4,1.275877,3.5818,810.34,0.5271,0.145431,0.079137,6.829179,0.085537,0.075714,0.082335,0.074270,0.074738,0.077065,0.077967,0.085788
1520,380,5e-4,1.249057,3.4871,773.47,0.5557,0.142428,0.080258,6.607409,0.065579,0.069828,0.073025,0.079162,0.076425,0.075343,0.079887,0.099658
1530,382,5e-4,1.222741,3.3965,798.91,0.5235,0.141701,0.079052,6.325630,0.076783,0.077798,0.070934,0.072177,0.076748,0.075733,0.078128,0.086747
1540,385,5e-4,1.214914,3.3700,864.20,0.5450,0.140553,0.078563,6.350336,0.079288,0.085748,0.078695,0.077767,0.075030,0.076107,0.077406,0.084097
1550,387,5e-4,1.177585,3.2465,715.27,0.5418,0.138607,0.079795,6.055874,0.094014,0.075600,0.077917,0.074132,0.075497,0.073538,0.079405,0.088619
1560,390,5e-4,1.249568,3.4888,843.70,0.5513,0.143365,0.081159,6.633878,0.070892,0.079649,0.077236,0.077634,0.071177,0.076567,0.079761,0.091555
1570,392,5e-4,1.337739,3.8104,947.27,0.5037,0.147896,0.082514,7.115039,0.073604,0.077484,0.069797,0.077267,0.075878,0.079246,0.079438,0.093901
1580,395,5e-4,1.141912,3.1328,756.47,0.5713,0.139403,0.079800,5.926786,0.068601,0.073980,0.080001,0.068679,0.075509,0.076407,0.081521,0.088684
