step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,1.0000001e-5,5.128156,168.7057,556.41,0.3849,0.205053,0.487615,26.709772
20,5,2.5000001e-5,5.083491,161.3363,471.26,0.3147,0.202674,0.481742,26.052357
30,7,3.5e-5,5.031144,153.1081,518.79,0.2885,0.203268,0.478226,26.387005
40,10,5.0000002e-5,4.927719,138.0642,491.00,0.3139,0.200750,0.472106,25.027851
50,12,6.0000002e-5,4.769548,117.8660,405.83,0.2794,0.200589,0.465444,24.804634
60,15,7.5e-5,4.591498,98.6421,553.15,0.3279,0.197270,0.440455,23.647415
70,17,8.500001e-5,4.412612,82.4846,387.12,0.2878,0.193240,0.407258,23.571177
80,20,1.00000005e-4,4.275655,71.9273,449.55,0.3081,0.181609,0.361320,21.654633
90,22,1.1000001e-4,4.071208,58.6277,489.51,0.2944,0.171142,0.320579,21.717224
100,25,1.25e-4,3.960661,52.4920,455.62,0.3009,0.157316,0.281455,20.583059
110,27,1.3500001e-4,3.796495,44.5448,497.66,0.3270,0.144311,0.246527,19.592794
120,30,1.5e-4,3.701598,40.5120,464.82,0.3371,0.131223,0.219849,19.053370
130,32,1.6000001e-4,3.645182,38.2898,509.58,0.2964,0.119365,0.195393,18.732548
140,35,1.7500001e-4,3.524136,33.9245,643.91,0.3236,0.111067,0.167917,18.278770
150,37,1.8500001e-4,3.444667,31.3329,410.05,0.2894,0.099601,0.144528,17.677990
160,40,2.0000001e-4,3.398284,29.9127,458.15,0.3206,0.093488,0.130252,17.532127
170,42,2.1e-4,3.322950,27.7421,574.11,0.2888,0.085609,0.117834,17.011497
180,45,2.2500001e-4,3.231132,25.3083,505.47,0.3447,0.080241,0.107755,16.626213
190,47,2.3500001e-4,3.205362,24.6644,514.69,0.3046,0.078994,0.100385,16.752811
200,50,2.5e-4,3.194047,24.3869,584.75,0.3378,0.074986,0.097752,16.242744
210,52,2.6e-4,3.129417,22.8607,478.15,0.2922,0.072241,0.088737,15.964482
220,55,2.7500003e-4,3.097101,22.1337,521.99,0.3027,0.071441,0.086686,15.666806
230,57,2.8500002e-4,3.067934,21.4974,480.69,0.2971,0.071465,0.088538,16.071789
240,60,3e-4,3.009076,20.2687,419.20,0.3001,0.068310,0.082881,15.667204
250,62,3.1e-4,2.991394,19.9134,494.39,0.2816,0.066545,0.081477,15.296585
260,65,3.25e-4,2.985354,19.7935,487.80,0.2964,0.067381,0.079188,15.652084
270,67,3.3500002e-4,2.960252,19.3028,423.75,0.2914,0.066872,0.078044,14.950389
280,70,3.5000002e-4,2.933071,18.7852,419.06,0.3137,0.068594,0.081360,15.506571
290,72,3.6000003e-4,2.917124,18.4880,446.01,0.3145,0.068030,0.081349,14.709704
300,75,3.75e-4,2.905362,18.2719,516.77,0.3467,0.069243,0.082040,15.182637
310,77,3.8500002e-4,2.873374,17.6966,443.66,0.3461,0.070800,0.082633,15.176562
320,80,4.0000002e-4,2.857285,17.4142,445.79,0.3362,0.072692,0.086891,15.129152
330,82,4.1e-4,2.792056,16.3145,444.43,0.3226,0.073085,0.085820,14.253014
340,85,4.2500003e-4,2.793174,16.3328,561.24,0.3061,0.076519,0.089540,14.673429
350,87,4.3500002e-4,2.756200,15.7399,534.71,0.3213,0.080940,0.097383,14.089630
360,90,4.5000002e-4,2.739396,15.4776,545.21,0.3354,0.084493,0.102796,14.021065
370,92,4.6000004e-4,2.682299,14.6187,605.33,0.3169,0.090192,0.108779,13.769011
380,95,4.75e-4,2.712018,15.0596,608.86,0.3409,0.097641,0.118868,14.240112
390,97,4.8500003e-4,2.678899,14.5690,538.97,0.3317,0.106598,0.127995,13.869432
400,100,5e-4,2.609684,13.5948,575.46,0.3498,0.114492,0.136445,13.586238
410,102,5e-4,2.643128,14.0571,520.92,0.3654,0.120785,0.144155,13.902342
420,105,5e-4,2.614392,13.6589,569.63,0.3517,0.125188,0.145332,13.455664
430,107,5e-4,2.522619,12.4612,503.51,0.3678,0.129772,0.149049,12.812863
440,110,5e-4,2.522621,12.4612,501.87,0.3959,0.143247,0.168080,12.858830
450,112,5e-4,2.557379,12.9020,562.65,0.3051,0.154388,0.174193,13.436552
460,115,5e-4,2.496768,12.1432,525.22,0.3270,0.154475,0.176260,13.272943
470,117,5e-4,2.501333,12.1987,565.21,0.2935,0.162559,0.180720,12.970561
480,120,5e-4,2.462392,11.7328,440.36,0.3410,0.169874,0.189561,12.675109
490,122,5e-4,2.410620,11.1409,495.69,0.3654,0.174453,0.191539,12.432352
500,125,5e-4,2.445782,11.5396,601.40,0.3531,0.181436,0.193774,12.980089
510,127,5e-4,2.428360,11.3403,507.83,0.3424,0.191678,0.207111,12.571354
520,130,5e-4,2.352574,10.5126,618.30,0.3223,0.197657,0.208435,11.928599
530,132,5e-4,2.313833,10.1131,524.30,0.3092,0.200835,0.210536,11.766642
540,135,5e-4,2.363168,10.6246,489.33,0.3434,0.208682,0.222753,12.502362
550,137,5e-4,2.297085,9.9451,520.37,0.3370,0.210082,0.216298,12.016590
560,140,5e-4,2.313639,10.1112,493.51,0.3414,0.221296,0.231869,12.008924
570,142,5e-4,2.279585,9.7726,595.02,0.2858,0.233859,0.244672,12.057599
580,145,5e-4,2.221484,9.2210,492.26,0.3270,0.230801,0.229979,11.489817
590,147,5e-4,2.223561,9.2402,402.43,0.2933,0.240811,0.231121,11.841120
600,150,5e-4,2.189020,8.9265,478.85,0.3352,0.243891,0.241324,11.425156
610,152,5e-4,2.234449,9.3413,497.99,0.3572,0.249903,0.244547,11.594234
620,155,5e-4,2.177473,8.8240,519.23,0.3493,0.254871,0.248769,11.353296
630,157,5e-4,2.160359,8.6743,563.80,0.3312,0.264981,0.255588,11.077260
640,160,5e-4,2.136366,8.4686,570.81,0.3105,0.273934,0.253788,10.940771
650,162,5e-4,2.151409,8.5970,429.67,0.3176,0.281568,0.272056,11.252917
660,165,5e-4,2.137052,8.4744,597.60,0.3151,0.289250,0.261799,11.294134
670,167,5e-4,2.086358,8.0555,533.56,0.2933,0.304816,0.281475,10.767940
680,170,5e-4,2.129939,8.4144,548.37,0.3120,0.299504,0.278785,10.852775
690,172,5e-4,2.066175,7.8946,444.39,0.3218,0.308205,0.289433,10.650141
700,175,5e-4,2.022779,7.5593,569.99,0.3305,0.296528,0.263481,10.447096
710,177,5e-4,2.040867,7.6973,536.60,0.2875,0.322723,0.276931,10.798704
720,180,5e-4,1.994140,7.3459,491.59,0.3612,0.324454,0.285952,10.134651
730,182,5e-4,1.994593,7.3492,505.66,0.3253,0.332478,0.284657,10.541537
740,185,5e-4,1.949729,7.0268,590.99,0.3251,0.335910,0.281580,10.056253
750,187,5e-4,1.955707,7.0689,534.93,0.2913,0.348841,0.295381,10.061554
760,190,5e-4,1.956292,7.0731,495.50,0.3177,0.347239,0.286044,10.240760
770,192,5e-4,2.022966,7.5607,403.62,0.2909,0.357962,0.296583,10.804008
780,195,5e-4,1.902239,6.7009,511.05,0.2926,0.353698,0.287145,10.057381
790,197,5e-4,1.861058,6.4305,427.75,0.3102,0.361015,0.301029,9.661101
800,200,5e-4,1.974637,7.2040,466.93,0.3126,0.370969,0.298310,10.466959
810,202,5e-4,1.889474,6.6159,543.08,0.3039,0.387680,0.313086,9.827285
820,205,5e-4,1.814092,6.1355,530.69,0.3343,0.372929,0.299413,9.196273
830,207,5e-4,1.817220,6.1547,470.98,0.3217,0.383022,0.298725,9.415013
840,210,5e-4,1.798591,6.0411,415.36,0.3610,0.377322,0.295393,9.147845
850,212,5e-4,1.796286,6.0272,570.99,0.2996,0.398282,0.310161,9.155381
860,215,5e-4,1.832754,6.2511,495.93,0.3095,0.408723,0.316970,9.462774
870,217,5e-4,1.784394,5.9560,543.73,0.2972,0.399350,0.306936,9.155194
880,220,5e-4,1.844797,6.3268,491.28,0.3427,0.412642,0.324007,9.590286
890,222,5e-4,1.782320,5.9436,521.10,0.2984,0.413345,0.317660,9.184813
900,225,5e-4,1.802672,6.0658,514.00,0.3173,0.424646,0.330192,9.476027
910,227,5e-4,1.776711,5.9104,438.12,0.3146,0.415783,0.325604,9.204700
920,230,5e-4,1.797765,6.0361,541.96,0.3060,0.411144,0.313499,9.237673
930,232,5e-4,1.779261,5.9255,493.29,0.3234,0.423284,0.328552,9.161673
940,235,5e-4,1.761322,5.8201,472.01,0.3309,0.421027,0.324529,9.253014
950,237,5e-4,1.716238,5.5636,435.57,0.3128,0.425099,0.322415,8.851583
960,240,5e-4,1.674179,5.3344,479.84,0.3455,0.414701,0.314244,8.578154
970,242,5e-4,1.756815,5.7940,460.59,0.3206,0.427242,0.321174,9.179487
980,245,5e-4,1.745289,5.7276,490.43,0.3272,0.435022,0.327602,9.230224
990,247,5e-4,1.717423,5.5702,473.39,0.3341,0.440859,0.333611,8.947455
1000,250,5e-4,1.845500,6.3313,490.17,0.3202,0.457116,0.339288,10.074705
1010,252,5e-4,1.691919,5.4299,480.82,0.3159,0.445082,0.340531,8.753078
1020,255,5e-4,1.710727,5.5330,523.30,0.3121,0.445489,0.333491,8.779529
1030,257,5e-4,1.671311,5.3191,618.79,0.2977,0.440758,0.330212,8.596327
1040,260,5e-4,1.644485,5.1783,502.15,0.3037,0.437955,0.326406,8.550326
1050,262,5e-4,1.628577,5.0966,532.99,0.3030,0.439656,0.328018,8.339725
1060,265,5e-4,1.737885,5.6853,554.01,0.3057,0.447727,0.329372,8.995666
1070,267,5e-4,1.701600,5.4827,473.32,0.2886,0.462336,0.347138,8.978521
1080,270,5e-4,1.672698,5.3265,491.98,0.3461,0.452256,0.332812,8.691916
1090,272,5e-4,1.706257,5.5083,545.24,0.3021,0.456261,0.338834,8.871870
1100,275,5e-4,1.689455,5.4165,531.85,0.3243,0.470765,0.348285,8.805181
1110,277,5e-4,1.633874,5.1237,460.59,0.3165,0.457974,0.347163,8.311744
1120,280,5e-4,1.631611,5.1121,592.87,0.3137,0.433062,0.326089,8.198128
1130,282,5e-4,1.627080,5.0890,431.69,0.3001,0.452148,0.344132,8.403103
1140,285,5e-4,1.667850,5.3008,497.43,0.3287,0.472612,0.349172,8.615538
