step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,5,1e-6,6.062573,429.4792,515.34,0.0602
20,10,2e-6,6.058566,427.7614,489.70,0.0538
30,15,2.9999999e-6,5.981944,396.2097,491.58,0.0505
40,20,4e-6,5.874341,355.7901,493.52,0.0494
50,25,5e-6,5.705386,300.4815,489.46,0.0489
60,30,5.9999998e-6,5.616224,274.8497,486.26,0.0598
70,35,6.9999996e-6,5.443843,231.3296,490.63,0.0504
80,40,8e-6,5.318340,204.0450,490.69,0.0484
90,45,9e-6,5.107349,165.2318,493.67,0.0513
100,50,1e-5,5.059408,157.4973,494.05,0.0508
110,55,1.1e-5,4.968916,143.8709,531.27,0.0533
120,60,1.19999995e-5,4.717291,111.8648,490.10,0.0518
130,65,1.2999999e-5,4.740922,114.5398,495.03,0.0541
140,70,1.3999999e-5,4.732877,113.6220,491.71,0.0517
150,75,1.50000005e-5,4.483427,88.5376,487.96,0.0456
160,80,1.6e-5,4.302163,73.8594,450.82,0.0529
170,85,1.7e-5,4.340742,76.7645,450.66,0.0505
180,90,1.8e-5,4.285022,72.6041,492.34,0.0497
190,95,1.9e-5,4.339274,76.6519,490.42,0.0533
200,100,2e-5,4.089911,59.7346,489.96,0.0538
210,105,2.0999998e-5,4.195529,66.3888,533.87,0.0578
220,110,2.2e-5,3.997640,54.4695,490.84,0.0503
230,115,2.3e-5,3.979555,53.4932,488.75,0.0550
240,120,2.3999999e-5,3.802984,44.8348,488.08,0.0566
250,125,2.5e-5,3.791870,44.3392,487.32,0.0580
260,130,2.5999998e-5,3.796305,44.5363,491.34,0.0521
270,135,2.7e-5,3.563501,35.2865,491.78,0.0512
280,140,2.7999999e-5,3.879885,48.4187,483.71,0.0504
290,145,2.8999999e-5,3.781356,43.8755,488.83,0.0464
300,150,3.0000001e-5,3.384888,29.5147,476.40,0.0403
310,155,3.1e-5,3.680931,39.6833,537.14,0.0644
320,160,3.2e-5,3.654384,38.6437,490.58,0.0510
330,165,3.3e-5,3.696873,40.3210,489.88,0.0534
340,170,3.4e-5,3.560053,35.1651,484.96,0.0594
350,175,3.4999997e-5,3.653936,38.6264,490.20,0.0527
360,180,3.6e-5,3.711585,40.9186,489.74,0.0536
370,185,3.6999998e-5,3.716175,41.1068,489.27,0.0530
380,190,3.8e-5,3.896566,49.2331,488.81,0.0528
390,195,3.9e-5,3.552610,34.9043,490.37,0.0537
400,200,4e-5,3.266914,26.2303,474.24,0.0478
410,205,4.1e-5,3.252242,25.8482,533.82,0.0584
420,210,4.1999996e-5,3.188626,24.2551,490.66,0.0555
430,215,4.3e-5,2.921038,18.5605,491.19,0.0511
440,220,4.4e-5,3.032839,20.7561,489.23,0.0548
450,225,4.4999997e-5,2.829773,16.9416,491.04,0.0533
460,230,4.6e-5,2.914196,18.4340,490.52,0.0567
470,235,4.6999998e-5,3.024878,20.5915,488.67,0.0550
480,240,4.7999998e-5,3.095770,22.1042,492.91,0.0529
490,245,4.9e-5,3.025424,20.6027,492.67,0.0531
500,250,5e-5,3.054785,21.2166,489.96,0.0544
510,255,5.1e-5,2.808417,16.5836,537.10,0.0544
520,260,5.1999996e-5,2.728987,15.3174,492.06,0.0497
530,265,5.2999996e-5,3.257382,25.9814,494.47,0.0595
540,270,5.4e-5,2.967239,19.4382,486.68,0.0589
550,275,5.5e-5,2.845315,17.2070,487.77,0.0553
560,280,5.5999997e-5,2.578045,13.1714,489.98,0.0517
570,285,5.6999997e-5,2.679339,14.5755,490.11,0.0541
580,290,5.7999998e-5,2.677908,14.5546,490.36,0.0627
590,295,5.8999995e-5,2.537078,12.6427,489.21,0.0578
600,300,6.0000002e-5,2.466911,11.7860,488.49,0.0585
610,305,6.1e-5,2.451566,11.6065,543.68,0.0691
620,310,6.2e-5,2.358197,10.5719,488.81,0.0620
630,315,6.3e-5,2.481892,11.9639,487.69,0.0607
640,320,6.4e-5,2.483258,11.9802,494.31,0.0532
