step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,6.6666666e-7,6.020296,411.7005,783.41,0.0886
20,2,1.3333333e-6,5.997267,402.3276,844.54,0.0774
30,3,2e-6,5.983230,396.7196,761.55,0.0853
40,5,3.3333333e-6,5.922574,373.3716,620.65,0.0816
50,6,4e-6,5.878006,357.0965,672.18,0.0839
60,7,4.6666664e-6,5.782208,324.4750,548.49,0.0876
70,8,5.3333333e-6,5.686239,294.7829,675.97,0.0838
80,10,6.6666666e-6,5.631530,279.0887,574.66,0.0921
90,11,7.3333326e-6,5.559475,259.6866,722.80,0.0846
100,12,8e-6,5.414793,224.7060,755.47,0.0848
110,13,8.666666e-6,5.321239,204.6373,909.02,0.1073
120,15,1e-5,5.242564,189.1544,881.31,0.0760
130,16,1.0666667e-5,5.155779,173.4309,653.71,0.0858
140,17,1.13333335e-5,4.965669,143.4044,482.17,0.0862
150,18,1.19999995e-5,4.848593,127.5608,534.24,0.0876
160,20,1.3333333e-5,4.726869,112.9413,736.45,0.0841
170,21,1.3999999e-5,4.695663,109.4714,623.30,0.0916
180,22,1.4666665e-5,4.577987,97.3183,779.35,0.0792
190,23,1.5333333e-5,4.405538,81.9032,833.65,0.0889
200,25,1.6666667e-5,4.333274,76.1933,829.99,0.0903
210,26,1.7333332e-5,4.202052,66.8233,3268.95,0.3333
220,27,1.8e-5,4.203511,66.9209,728.74,0.0624
230,28,1.8666666e-5,4.074730,58.8346,1092.26,0.0549
240,30,2e-5,3.958477,52.3775,689.13,0.0562
250,31,2.0666666e-5,3.928756,50.8437,510.62,0.0613
260,32,2.1333333e-5,3.890322,48.9266,341.28,0.0571
270,33,2.2e-5,3.769378,43.3531,535.43,0.0591
280,35,2.3333332e-5,3.764707,43.1511,522.81,0.0621
290,36,2.3999999e-5,3.694613,40.2300,478.98,0.0624
300,37,2.4666666e-5,3.675771,39.4791,386.89,0.0625
310,38,2.5333333e-5,3.630771,37.7419,1072.08,0.0739
320,40,2.6666667e-5,3.482737,32.5487,705.88,0.0595
330,41,2.7333333e-5,3.505423,33.2955,823.42,0.0579
340,42,2.7999999e-5,3.443525,31.2971,763.58,0.0584
350,43,2.8666665e-5,3.412472,30.3402,628.15,0.0623
360,45,3.0000001e-5,3.335910,28.1040,638.06,0.0625
370,46,3.0666666e-5,3.306559,27.2911,619.32,0.0606
380,47,3.1333333e-5,3.241182,25.5639,413.33,0.0623
390,48,3.2e-5,3.196929,24.4573,575.25,0.0583
400,50,3.3333334e-5,3.121022,22.6695,492.15,0.0616
410,51,3.4e-5,3.147560,23.2792,844.27,0.0834
420,52,3.4666664e-5,3.121743,22.6859,852.59,0.0528
430,53,3.533333e-5,3.060308,21.3341,1040.53,0.0279
440,55,3.6666668e-5,3.042946,20.9669,581.12,0.0582
450,56,3.733333e-5,3.036074,20.8233,414.72,0.0600
460,57,3.8e-5,3.031604,20.7305,714.40,0.0586
470,58,3.8666665e-5,2.913504,18.4212,381.11,0.0711
480,60,4e-5,2.941877,18.9514,538.79,0.0605
490,61,4.0666666e-5,2.915505,18.4581,649.44,0.0601
500,62,4.1333333e-5,2.776334,16.0600,651.87,0.0591
510,63,4.1999996e-5,2.906850,18.2991,3199.08,0.3578
520,65,4.3333333e-5,2.789248,16.2688,146.44,0.0303
530,66,4.4e-5,2.801175,16.4640,196.20,0.0306
540,67,4.4666664e-5,2.778848,16.1005,256.30,0.0368
550,68,4.5333334e-5,2.689157,14.7193,206.29,0.0283
560,70,4.6666664e-5,2.704792,14.9512,241.34,0.0302
570,71,4.733333e-5,2.701262,14.8985,334.36,0.0311
580,72,4.7999998e-5,2.599668,13.4593,226.28,0.0280
590,73,4.8666665e-5,2.588149,13.3051,333.36,0.0349
600,75,5e-5,2.597023,13.4237,334.14,0.0314
610,76,5.0666666e-5,2.624995,13.8045,3456.10,0.1927
620,77,5.1333333e-5,2.654226,14.2140,272.84,0.0209
630,78,5.1999996e-5,2.560273,12.9393,217.33,0.0158
640,80,5.3333333e-5,2.508494,12.2864,200.79,0.0180
650,81,5.4e-5,2.508193,12.2827,147.24,0.0158
660,82,5.4666667e-5,2.478649,11.9251,339.56,0.0214
670,83,5.5333334e-5,2.481282,11.9566,211.28,0.0208
680,85,5.6666664e-5,2.409241,11.1255,269.31,0.0197
690,86,5.733333e-5,2.359784,10.5887,170.96,0.0183
700,87,5.7999998e-5,2.462641,11.7358,86.07,0.0167
710,88,5.866666e-5,2.325520,10.2320,397.07,0.0631
720,90,6.0000002e-5,2.318824,10.1637,117.99,0.0180
730,91,6.0666665e-5,2.322391,10.2000,122.44,0.0161
740,92,6.133333e-5,2.293794,9.9125,421.15,0.0212
750,93,6.2e-5,2.291015,9.8850,175.61,0.0178
760,95,6.333333e-5,2.303812,10.0123,151.30,0.0164
770,96,6.4e-5,2.304531,10.0195,398.85,0.0251
780,97,6.466666e-5,2.251309,9.5002,145.90,0.0174
790,98,6.5333326e-5,2.224368,9.2476,196.86,0.0200
800,100,6.666667e-5,2.233787,9.3351,166.73,0.0159
810,101,6.7333334e-5,2.146232,8.5526,365.72,0.0452
820,102,6.8e-5,2.195454,8.9841,152.33,0.0156
830,103,6.866667e-5,2.166224,8.7253,147.50,0.0167
840,105,6.9999995e-5,2.157946,8.6533,148.36,0.0163
850,106,7.066666e-5,2.162022,8.6887,198.47,0.0151
860,107,7.133333e-5,2.196380,8.9924,163.56,0.0174
870,108,7.2e-5,2.117867,8.3134,116.14,0.0173
880,110,7.3333336e-5,2.088324,8.0714,127.33,0.0161
890,111,7.3999996e-5,2.147483,8.5633,160.80,0.0173
900,112,7.466666e-5,2.120135,8.3323,96.42,0.0182
910,113,7.533333e-5,2.120622,8.3363,365.34,0.0434
920,115,7.666666e-5,2.083002,8.0285,129.67,0.0151
930,116,7.733333e-5,2.015950,7.5079,201.86,0.0183
940,117,7.8e-5,2.125498,8.3771,250.87,0.0187
950,118,7.8666664e-5,2.006827,7.4397,145.81,0.0155
960,120,8e-5,2.028249,7.6008,188.64,0.0201
970,121,8.0666665e-5,1.976825,7.2198,158.76,0.0147
980,122,8.133333e-5,2.036148,7.6610,351.59,0.0188
990,123,8.2e-5,1.991020,7.3230,256.78,0.0188
