step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
10,10,2.0000001e-5,4.959567,142.5320,3284.27,2.0504,21.045967
20,20,4.0000003e-5,4.846792,127.3313,3275.30,2.0655,19.790443
30,30,6.0000002e-5,4.630502,102.5656,3391.04,2.0283,19.886143
40,40,8.0000005e-5,4.381755,79.9783,3213.62,2.0707,17.834959
50,50,1.00000005e-4,4.136392,62.5766,3013.33,2.1301,17.173130
60,60,1.20000004e-4,3.931503,50.9835,3245.07,2.0657,16.344807
70,70,1.4e-4,3.689490,40.0244,3322.45,2.0550,15.906021
80,80,1.6000001e-4,3.531695,34.1819,3054.32,2.1053,14.702864
90,90,1.8000002e-4,3.416540,30.4638,3140.52,2.0853,14.650751
100,100,2.0000001e-4,3.295481,26.9904,2946.40,2.1401,13.718912
110,110,2.2000002e-4,3.163352,23.6497,3330.26,2.0359,13.194186
120,120,2.4000001e-4,3.015168,20.3925,3197.52,2.0797,12.395748
130,130,2.6e-4,2.972220,19.5352,3260.90,2.0996,12.512873
140,140,2.8e-4,2.841449,17.1406,3808.00,1.9386,11.757074
150,150,3e-4,2.809874,16.6078,3156.50,2.0709,11.570570
160,160,3.2000002e-4,2.730382,15.3388,3112.91,2.0804,11.225857
170,170,3.4000003e-4,2.660573,14.3045,3661.21,1.9588,11.202654
180,180,3.6000003e-4,2.557868,12.9083,3153.82,2.0689,10.560479
190,190,3.8e-4,2.629172,13.8623,3404.81,2.0107,11.052372
200,200,4.0000002e-4,2.569416,13.0582,3281.59,2.0368,10.466459
210,210,4.2e-4,2.492699,12.0939,3602.36,1.9728,10.198322
220,220,4.4000003e-4,2.493016,12.0977,3242.94,2.0461,10.195801
230,230,4.6000004e-4,2.403451,11.0613,3214.37,2.0551,10.239842
240,240,4.8000002e-4,2.343326,10.4158,3296.72,2.0376,9.903860
250,250,5e-4,2.360227,10.5934,3477.68,1.9944,9.868076
260,260,5.2e-4,2.357605,10.5656,2968.89,2.1494,9.707613
270,270,5.4000004e-4,2.318686,10.1623,3173.49,2.0831,9.537981
280,280,5.6e-4,2.345654,10.4401,2983.05,2.1313,9.783534
290,290,5.8e-4,2.256131,9.5461,2896.89,2.1521,9.320285
300,300,6e-4,2.258801,9.5716,2949.88,2.1457,9.640660
310,310,6.2e-4,2.181913,8.8632,2905.35,2.1565,9.328289
320,320,6.4000004e-4,2.253201,9.5182,2988.73,2.1414,9.620106
330,330,6.600001e-4,2.103266,8.1929,3228.41,2.0974,8.772994
340,340,6.8000006e-4,2.148738,8.5740,3496.19,2.0376,9.049654
350,350,7.0000003e-4,2.123426,8.3597,3588.93,1.9923,8.564702
360,360,7.2000007e-4,2.005717,7.4314,2900.17,2.1671,8.353610
370,370,7.4000005e-4,2.062801,7.8680,3735.24,1.9617,8.517515
380,380,7.6e-4,2.000854,7.3954,3591.43,1.9864,8.583976
390,390,7.8e-4,2.000614,7.3936,4138.21,2.1852,8.175972
400,400,8.0000004e-4,1.885584,6.5902,3036.10,2.1388,8.014939
410,410,8.2e-4,1.978739,7.2336,3033.46,2.0951,8.508712
420,420,8.4e-4,1.924511,6.8518,3145.29,2.0691,7.958940
430,430,8.6000003e-4,1.789188,5.9846,2949.46,2.1219,7.261263
440,440,8.8000007e-4,1.822591,6.1879,2899.45,2.1403,7.504375
450,450,9.0000004e-4,1.881931,6.5662,3496.09,1.9882,8.079527
460,460,9.200001e-4,1.815875,6.1465,3613.92,1.9670,7.744594
470,470,9.4000006e-4,1.749080,5.7493,3474.34,1.9900,7.405857
480,480,9.6000003e-4,1.710186,5.5300,2749.05,2.1979,7.085029
490,490,9.8e-4,1.752230,5.7674,3056.86,2.0918,7.436912
500,500,9.99112e-4,1.734478,5.6660,3326.47,2.0227,7.312302
