step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.934005,377.6639,510.55,0.3278
20,2,4.0000004e-6,5.799293,330.0660,420.53,0.2665
30,3,6e-6,5.464543,236.1680,528.38,0.2606
40,5,1.0000001e-5,5.180858,177.8353,448.78,0.2645
50,6,1.2e-5,4.973800,144.5752,334.59,0.2904
60,7,1.4000001e-5,4.719690,112.1335,432.73,0.2648
70,8,1.6000002e-5,4.580483,97.5615,396.91,0.2779
80,10,2.0000001e-5,4.432458,84.1380,399.62,0.2830
90,11,2.2e-5,4.271421,71.6234,394.32,0.2913
100,12,2.4e-5,4.195553,66.3905,458.44,0.2721
110,27,3.6e-5,4.101577,60.4355,3314.72,0.3865
120,30,4e-5,3.878177,48.3360,393.53,0.0607
110,27,3.6e-5,4.101560,60.4345,3063.59,0.3572
120,30,4e-5,3.878137,48.3341,224.75,0.0347
110,27,3.6e-5,4.101544,60.4335,3266.75,0.3809
120,30,4e-5,3.878233,48.3387,396.11,0.0611
110,27,3.6e-5,4.101559,60.4344,3257.01,0.3798
120,30,4e-5,3.878147,48.3346,395.71,0.0610
110,27,3.6e-5,4.081510,59.2348,3323.07,0.3665
120,30,4e-5,3.876224,48.2417,401.25,0.0597
130,32,4.2666667e-5,3.614495,37.1326,368.19,0.0597
140,35,4.6666664e-5,3.430605,30.8953,524.35,0.0581
150,37,4.9333332e-5,3.338536,28.1778,437.64,0.0600
160,40,5.3333333e-5,3.195709,24.4275,351.34,0.0628
170,42,5.5999997e-5,3.050838,21.1330,382.42,0.0627
180,45,6.0000002e-5,2.954054,19.1836,505.88,0.0596
190,47,6.2666666e-5,2.807559,16.5694,408.10,0.0626
200,50,6.666667e-5,2.833215,17.0000,368.70,0.0576
210,52,6.933333e-5,2.709715,15.0250,742.04,0.0905
220,55,7.3333336e-5,2.575371,13.1362,549.35,0.0619
230,57,7.6e-5,2.601064,13.4781,426.43,0.0617
240,60,8e-5,2.536785,12.6390,493.14,0.0588
210,52,6.933333e-5,2.890216,17.9972,3242.48,0.3956
210,52,6.933333e-5,2.890237,17.9976,3222.60,0.3932
210,52,6.933333e-5,2.890222,17.9973,3235.95,0.3948
210,52,6.933333e-5,2.890214,17.9972,3227.23,0.3937
210,52,6.933333e-5,2.890224,17.9973,3261.84,0.3980
220,55,7.3333336e-5,2.678455,14.5626,529.79,0.0597
230,57,7.6e-5,2.672653,14.4783,410.13,0.0594
240,60,8e-5,2.596524,13.4170,476.93,0.0569
210,52,6.933333e-5,2.890216,17.9972,3306.51,0.4034
220,55,7.3333336e-5,2.678444,14.5624,541.69,0.0611
230,57,7.6e-5,2.672658,14.4784,419.38,0.0607
240,60,8e-5,2.596435,13.4158,481.08,0.0574
